,racas1-racas2,racas2-racas3,racas3-racas4,racas4-racas5,racas5-racas6,racas6-racas7,racas8-racas9,racas9-racas10,rmolf1-rmolf2,rmolf2-rmolf3,rmolf3-rmolf4,rmolf4-rmolf5,rmolf5-rmolf6,rmolf9-rmolf10,rmolf10-rmolf11
0,,,,,,,,,,,,,,"[0.7254677978170143, 0.8614677978170135, 0.8634677978170124, 0.8654677978170113, 0.8674677978170138]","[0.8614677978170135, 0.8634677978170124, 0.8654677978170113, 0.8674677978170138]"
1,,,,,,,,,,,,,,"[0.6344942457714069, 0.6704942457714047, 0.6904942457714078, 0.6964942457714045, 0.698494245771407, 0.7004942457714058, 0.7224942457714079, 0.7344942457714048, 0.7364942457714072, 0.7384942457714061, 0.740494245771405, 0.7424942457714074, 0.7484942457714077, 0.7504942457714066, 0.7584942457714057, 0.7604942457714046, 0.762494245771407, 0.7644942457714059, 0.7664942457714048, 0.7684942457714072, 0.7764942457714064, 0.7844942457714055, 0.7864942457714079, 0.7884942457714068, 0.7924942457714046, 0.794494245771407, 0.7964942457714059, 0.804494245771405, 0.8064942457714075, 0.8084942457714064, 0.8104942457714053, 0.8124942457714077, 0.8164942457714055, 0.818494245771408, 0.8204942457714068, 0.8224942457714057, 0.8324942457714073, 0.8344942457714062, 0.8444942457714077, 0.8464942457714066, 0.8484942457714055, 0.8544942457714058, 0.8564942457714046, 0.8624942457714049, 0.8844942457714069, 0.8864942457714058, 0.8884942457714047, 0.892494245771406, 0.8944942457714049, 0.8964942457714073, 0.8984942457714062, 0.9024942457714076, 0.9044942457714065, 0.9124942457714056, 0.9144942457714045, 0.9164942457714069, 0.9264942457714049, 0.9404942457714078, 0.9424942457714067, 0.9524942457714047, 0.9544942457714072, 0.9604942457714074, 0.9624942457714063, 0.9644942457714052, 0.9664942457714076, 0.9684942457714065, 0.9704942457714054, 0.9724942457714079, 0.9744942457714068, 0.9824942457714059, 0.9844942457714048, 0.9864942457714072]","[0.6344942457714069, 0.6704942457714047, 0.6904942457714078, 0.6924942457714067, 0.6964942457714045, 0.698494245771407, 0.7004942457714058, 0.7224942457714079, 0.7344942457714048, 0.7364942457714072, 0.7384942457714061, 0.740494245771405, 0.7424942457714074, 0.7464942457714052, 0.7484942457714077, 0.7504942457714066, 0.7584942457714057, 0.7604942457714046, 0.762494245771407, 0.7644942457714059, 0.7664942457714048, 0.7684942457714072, 0.7764942457714064, 0.7824942457714066, 0.7844942457714055, 0.7864942457714079, 0.7884942457714068, 0.7904942457714057, 0.7924942457714046, 0.794494245771407, 0.7964942457714059, 0.804494245771405, 0.8064942457714075, 0.8084942457714064, 0.8104942457714053, 0.8144942457714066, 0.8164942457714055, 0.818494245771408, 0.8204942457714068, 0.8224942457714057, 0.8244942457714046, 0.8264942457714071, 0.8304942457714048, 0.8324942457714073, 0.8344942457714062, 0.8364942457714051, 0.8444942457714077, 0.8464942457714066, 0.8484942457714055, 0.850494245771408, 0.8544942457714058, 0.8564942457714046, 0.860494245771406, 0.8624942457714049, 0.8844942457714069, 0.8864942457714058, 0.8884942457714047, 0.892494245771406, 0.8944942457714049, 0.8964942457714073, 0.8984942457714062, 0.9024942457714076, 0.9044942457714065, 0.9124942457714056, 0.9144942457714045, 0.9164942457714069, 0.9264942457714049, 0.9404942457714078, 0.9424942457714067, 0.9524942457714047, 0.9544942457714072, 0.9604942457714074, 0.9624942457714063, 0.9644942457714052, 0.9664942457714076, 0.9684942457714065, 0.9704942457714054, 0.9724942457714079, 0.9744942457714068, 0.9824942457714059, 0.9844942457714048, 0.9864942457714072]"
2,,,,,,,,,,,,,,"[0.7976836036281298, 0.7996836036281287, 0.8296836036281299, 0.8316836036281288, 0.8336836036281277, 0.9396836036281293, 0.9976836036281291]","[0.7976836036281298, 0.7996836036281287, 0.8296836036281299, 0.8316836036281288, 0.9376836036281269, 0.9396836036281293, 0.9976836036281291]"
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,[0.9327483880430947],[0.9327483880430947]
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,[0.8702533473142182],,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
